id_venta,producto,cantidad,precio_unitario,vendedor
1107,RAM,13,90,Jose
1108,Parlantes,16,110,Jose
1109,Parlantes,19,110,Elena
1110,Mouse,11,20,Jose
1111,Teclado,13,45,Isabel
1112,Mouse,7,20,Ana
1113,Impresora,11,250,Hugo
1114,Microfono,3,70,Isabel
1115,Impresora,20,250,Fernando
1116,USB Hub,9,30,Isabel
1117,Teclado,6,45,Ana
1118,RAM,19,90,Hugo
1119,Monitor,19,200,Elena
1120,Teclado,7,45,Carlos
1121,USB Hub,12,30,Diego
1122,Microfono,13,70,Jose
1123,Switch,16,95,Isabel
1124,USB Hub,10,30,Gabriela
1125,Impresora,12,250,Hugo
1126,USB Hub,2,30,Hugo
1127,Parlantes,1,110,Elena
1128,Webcam,9,60,Jose
1129,Impresora,4,250,Hugo
1130,Parlantes,14,110,Carlos
1131,Switch,15,95,Isabel
1132,Tablet,10,350,Isabel
1133,Teclado,20,45,Isabel
1134,Monitor,1,200,Hugo
1135,Mouse,7,20,Gabriela
1136,SSD,4,120,Gabriela
1137,Tablet,15,350,Fernando
1138,Impresora,18,250,Gabriela
1139,Switch,10,95,Diego
1140,Laptop,16,1500,Beatriz
1141,Teclado,1,45,Isabel
1142,Parlantes,16,110,Hugo
1143,Monitor,12,200,Diego
1144,RAM,8,90,Elena
1145,Webcam,18,60,Jose
1146,Tablet,4,350,Fernando
1147,Microfono,9,70,Gabriela
1148,Parlantes,12,110,Carlos
1149,SSD,2,120,Gabriela
1150,Switch,12,95,Gabriela
1151,Teclado,2,45,Ana
1152,Teclado,20,45,Beatriz
1153,RAM,17,90,Jose
1154,Mouse,2,20,Fernando
1155,Monitor,1,200,Jose
1156,SSD,11,120,Hugo
1157,Auriculares,9,80,Ana
1158,Auriculares,16,80,Hugo
1159,Monitor,3,200,Diego
1160,Laptop,7,1500,Jose
1161,Parlantes,20,110,Ana
1162,Tablet,12,350,Jose
1163,Switch,14,95,Hugo
1164,Laptop,17,1500,Isabel
1165,Parlantes,14,110,Diego
1166,Laptop,18,1500,Hugo
1167,Teclado,16,45,Gabriela
1168,Monitor,11,200,Isabel
1169,Teclado,20,45,Fernando
1170,Mouse,17,20,Fernando
1171,Microfono,3,70,Carlos
1172,Parlantes,15,110,Carlos
1173,Laptop,5,1500,Ana
1174,Parlantes,3,110,Isabel
1175,Teclado,7,45,Beatriz
1176,Mouse,20,20,Hugo
1177,Webcam,11,60,Ana
1178,USB Hub,19,30,Gabriela
1179,Auriculares,8,80,Hugo
1180,Laptop,6,1500,Diego
1181,Laptop,18,1500,Ana
1182,SSD,10,120,Jose
1183,Laptop,20,1500,Ana
1184,USB Hub,2,30,Hugo
1185,USB Hub,9,30,Fernando
1186,Microfono,17,70,Fernando
1187,Teclado,6,45,Isabel
1188,Tablet,11,350,Fernando
1189,Microfono,4,70,Elena
1190,Microfono,20,70,Isabel
1191,Teclado,13,45,Elena
1192,Impresora,19,250,Fernando
1193,Monitor,19,200,Elena
1194,Laptop,13,1500,Beatriz
1195,Mouse,11,20,Gabriela
1196,Impresora,12,250,Elena
1197,Impresora,9,250,Jose
1198,SSD,6,120,Beatriz
1199,Mouse,4,20,Diego
1200,USB Hub,18,30,Carlos
1201,Mouse,15,20,Jose
1202,Switch,8,95,Fernando
1203,Webcam,5,60,Isabel
1204,Auriculares,4,80,Fernando
1205,Auriculares,18,80,Isabel
1206,Teclado,9,45,Elena
1207,RAM,11,90,Carlos
1208,Impresora,16,250,Jose
1209,RAM,10,90,Ana
1210,Teclado,1,45,Diego
1211,Mouse,11,20,Gabriela
1212,Auriculares,15,80,Beatriz
1213,Router,18,75,Beatriz
1214,Impresora,13,250,Hugo
1215,Webcam,2,60,Ana
1216,USB Hub,14,30,Hugo
1217,Teclado,17,45,Elena
1218,Tablet,1,350,Carlos
1219,Microfono,4,70,Hugo
1220,Auriculares,4,80,Jose
1221,Monitor,14,200,Beatriz
1222,Webcam,17,60,Beatriz
1223,Auriculares,19,80,Hugo
1224,Monitor,9,200,Ana
1225,Teclado,20,45,Diego
1226,SSD,4,120,Gabriela
1227,Auriculares,6,80,Diego
1228,Tablet,10,350,Jose
1229,Parlantes,17,110,Fernando
1230,Impresora,20,250,Ana
1231,USB Hub,16,30,Ana
1232,Monitor,9,200,Ana
1233,Webcam,1,60,Gabriela
1234,Impresora,13,250,Fernando
1235,Mouse,3,20,Diego
1236,Router,20,75,Hugo
1237,Auriculares,5,80,Fernando
1238,Router,13,75,Beatriz
1239,Switch,16,95,Elena
1240,Microfono,3,70,Fernando
1241,Microfono,7,70,Isabel
1242,Microfono,11,70,Beatriz
1243,RAM,1,90,Hugo
1244,Mouse,14,20,Carlos
1245,SSD,19,120,Hugo
1246,Monitor,12,200,Gabriela
1247,Laptop,13,1500,Beatriz
1248,Webcam,10,60,Ana
1249,Microfono,7,70,Carlos
1250,SSD,9,120,Elena
1251,Laptop,19,1500,Hugo
1252,Impresora,2,250,Jose
1253,Laptop,16,1500,Diego
1254,USB Hub,14,30,Diego
1255,Mouse,10,20,Fernando
1256,Auriculares,20,80,Carlos
1257,Tablet,13,350,Beatriz
1258,USB Hub,19,30,Isabel
1259,Switch,15,95,Carlos
1260,SSD,18,120,Ana
1261,Teclado,10,45,Fernando
1262,Laptop,16,1500,Gabriela
1263,Microfono,9,70,Isabel
1264,Microfono,12,70,Beatriz
1265,Parlantes,6,110,Isabel
1266,Monitor,20,200,Fernando
1267,Laptop,2,1500,Hugo
1268,Parlantes,20,110,Isabel
1269,Laptop,10,1500,Fernando
1270,Auriculares,16,80,Carlos
1271,Mouse,1,20,Jose
1272,Switch,6,95,Jose
1273,Auriculares,19,80,Isabel
1274,Webcam,17,60,Gabriela
1275,SSD,14,120,Elena
1276,Auriculares,10,80,Elena
1277,Microfono,8,70,Isabel
1278,RAM,3,90,Gabriela
1279,Monitor,14,200,Diego
1280,Router,20,75,Hugo
1281,Router,19,75,Hugo
1282,Monitor,13,200,Hugo
1283,RAM,13,90,Jose
1284,SSD,2,120,Isabel
1285,Mouse,18,20,Jose
1286,Laptop,11,1500,Diego
1287,Tablet,11,350,Jose
1288,Impresora,10,250,Beatriz
1289,RAM,16,90,Carlos
1290,Mouse,6,20,Beatriz
1291,RAM,18,90,Beatriz
1292,Switch,7,95,Ana
1293,Webcam,3,60,Fernando
1294,USB Hub,2,30,Ana
1295,USB Hub,16,30,Jose
1296,RAM,3,90,Elena
1297,Webcam,17,60,Ana
1298,Router,6,75,Fernando
1299,Auriculares,14,80,Jose
1300,USB Hub,9,30,Hugo
1301,Microfono,17,70,Jose
1302,Impresora,10,250,Hugo
1303,Laptop,1,1500,Carlos
1304,Mouse,18,20,Ana
1305,Parlantes,15,110,Elena
1306,Laptop,13,1500,Beatriz
1307,Monitor,8,200,Carlos
1308,Monitor,19,200,Isabel
1309,Microfono,9,70,Isabel
1310,USB Hub,4,30,Fernando
1311,Monitor,4,200,Fernando
1312,Webcam,13,60,Ana
1313,Laptop,19,1500,Ana
1314,Teclado,4,45,Elena
1315,Parlantes,15,110,Isabel
1316,Microfono,4,70,Ana
1317,Auriculares,15,80,Fernando
1318,Mouse,19,20,Beatriz
1319,Mouse,15,20,Fernando
1320,Auriculares,13,80,Gabriela
1321,Teclado,16,45,Carlos
1322,SSD,14,120,Jose
1323,Teclado,3,45,Hugo
1324,Auriculares,10,80,Gabriela
1325,Laptop,13,1500,Fernando
1326,Impresora,19,250,Ana
1327,SSD,8,120,Beatriz
1328,Parlantes,19,110,Elena
1329,Auriculares,3,80,Carlos
1330,Teclado,3,45,Gabriela
1331,Laptop,9,1500,Carlos
1332,Webcam,1,60,Diego
1333,Auriculares,1,80,Jose
1334,Laptop,12,1500,Elena
1335,Teclado,6,45,Hugo
1336,RAM,1,90,Jose
1337,Laptop,9,1500,Hugo
1338,Tablet,5,350,Gabriela
1339,Teclado,18,45,Elena
1340,Monitor,13,200,Beatriz
1341,Webcam,10,60,Carlos
1342,RAM,11,90,Fernando
1343,SSD,8,120,Diego
1344,Mouse,8,20,Isabel
1345,Mouse,6,20,Jose
1346,RAM,16,90,Jose
1347,Router,16,75,Diego
1348,Tablet,9,350,Fernando
1349,Switch,20,95,Fernando
1350,Switch,8,95,Carlos
1351,Switch,20,95,Diego
1352,Monitor,18,200,Ana
1353,Impresora,19,250,Ana
1354,Webcam,12,60,Elena
1355,SSD,4,120,Diego
1356,Auriculares,12,80,Ana
1357,Tablet,13,350,Isabel
1358,Teclado,19,45,Fernando
1359,Router,6,75,Isabel
1360,Webcam,13,60,Jose
1361,Mouse,8,20,Elena
1362,Auriculares,3,80,Isabel
1363,Laptop,19,1500,Fernando
1364,Impresora,6,250,Fernando
1365,Mouse,18,20,Isabel
1366,Microfono,20,70,Fernando
1367,Laptop,1,1500,Beatriz
1368,Parlantes,7,110,Diego
1369,Monitor,10,200,Carlos
1370,Laptop,4,1500,Carlos
1371,Impresora,8,250,Hugo
1372,Switch,13,95,Jose
1373,Switch,8,95,Gabriela
1374,RAM,5,90,Beatriz
1375,USB Hub,17,30,Jose
1376,Impresora,10,250,Diego
1377,Switch,16,95,Hugo
1378,Tablet,10,350,Jose
1379,Teclado,8,45,Hugo
1380,Laptop,9,1500,Diego
1381,Router,3,75,Fernando
1382,Parlantes,10,110,Elena
1383,Auriculares,9,80,Diego
1384,Mouse,15,20,Ana
1385,Teclado,8,45,Beatriz
1386,Router,17,75,Diego
1387,Teclado,8,45,Diego
1388,RAM,14,90,Jose
1389,Webcam,6,60,Elena
1390,Teclado,7,45,Hugo
1391,Switch,7,95,Gabriela
1392,Teclado,5,45,Hugo
1393,Laptop,18,1500,Beatriz
1394,SSD,13,120,Beatriz
1395,Auriculares,8,80,Hugo
1396,Webcam,3,60,Gabriela
1397,Mouse,16,20,Ana
1398,USB Hub,10,30,Fernando
1399,Tablet,8,350,Elena
1400,Tablet,3,350,Hugo
1401,Mouse,19,20,Diego
1402,SSD,4,120,Hugo
1403,Auriculares,10,80,Gabriela
1404,Monitor,9,200,Beatriz
1405,Laptop,3,1500,Gabriela
1406,Parlantes,4,110,Isabel
1407,RAM,6,90,Beatriz
1408,Teclado,16,45,Gabriela
1409,Mouse,16,20,Ana
1410,Auriculares,14,80,Isabel
1411,Monitor,9,200,Beatriz
1412,Tablet,18,350,Elena
1413,Monitor,7,200,Hugo
1414,USB Hub,1,30,Isabel
1415,Teclado,20,45,Diego
1416,RAM,9,90,Hugo
1417,Auriculares,13,80,Elena
1418,SSD,10,120,Elena
1419,Webcam,8,60,Ana
1420,SSD,10,120,Ana
1421,Auriculares,17,80,Jose
1422,USB Hub,18,30,Diego
1423,Webcam,20,60,Carlos
1424,Microfono,18,70,Hugo
1425,Laptop,2,1500,Ana
1426,Laptop,3,1500,Jose
1427,Parlantes,16,110,Isabel
1428,SSD,20,120,Diego
1429,Webcam,3,60,Gabriela
1430,Monitor,3,200,Isabel
1431,Microfono,5,70,Elena
1432,Impresora,12,250,Isabel
1433,USB Hub,10,30,Elena
1434,Monitor,19,200,Jose
1435,Switch,20,95,Gabriela
1436,Tablet,1,350,Fernando
1437,RAM,18,90,Beatriz
1438,Laptop,1,1500,Diego
1439,Switch,1,95,Beatriz
1440,Laptop,6,1500,Beatriz
1441,Microfono,11,70,Elena
1442,USB Hub,4,30,Diego
1443,Impresora,10,250,Jose
1444,Switch,7,95,Fernando
1445,Switch,3,95,Fernando
1446,USB Hub,4,30,Isabel
1447,Router,6,75,Jose
1448,Microfono,17,70,Fernando
1449,USB Hub,11,30,Ana
1450,USB Hub,13,30,Gabriela
1451,Tablet,1,350,Carlos
1452,Mouse,1,20,Jose
1453,Mouse,15,20,Gabriela
1454,Monitor,15,200,Diego
1455,RAM,19,90,Isabel
1456,Auriculares,4,80,Hugo
1457,Switch,9,95,Jose
1458,Webcam,11,60,Hugo
1459,Teclado,17,45,Carlos
1460,Monitor,6,200,Hugo
1461,Switch,7,95,Hugo
1462,USB Hub,11,30,Diego
1463,Mouse,4,20,Ana
1464,Tablet,11,350,Beatriz
1465,Tablet,12,350,Gabriela
1466,Laptop,2,1500,Ana
1467,Monitor,9,200,Isabel
1468,Microfono,10,70,Gabriela
1469,Laptop,11,1500,Diego
1470,Mouse,3,20,Hugo
1471,Laptop,2,1500,Jose
1472,Mouse,10,20,Hugo
1473,USB Hub,2,30,Diego
1474,Auriculares,15,80,Diego
1475,SSD,4,120,Diego
1476,Parlantes,20,110,Hugo
1477,Impresora,6,250,Carlos
1478,Microfono,5,70,Hugo
1479,Laptop,11,1500,Fernando
1480,Monitor,15,200,Gabriela
1481,Router,18,75,Hugo
1482,Laptop,12,1500,Ana
1483,Parlantes,3,110,Elena
1484,Webcam,5,60,Beatriz
1485,Monitor,19,200,Carlos
1486,Webcam,3,60,Beatriz
1487,Teclado,10,45,Isabel
1488,Tablet,8,350,Ana
1489,Parlantes,2,110,Isabel
1490,USB Hub,9,30,Hugo
1491,Impresora,2,250,Fernando
1492,Tablet,20,350,Elena
1493,Mouse,4,20,Ana
1494,Webcam,10,60,Fernando
1495,Auriculares,14,80,Gabriela
1496,Laptop,5,1500,Ana
1497,Switch,17,95,Elena
1498,Laptop,4,1500,Beatriz
1499,Microfono,12,70,Hugo
1500,Parlantes,7,110,Isabel
1501,Router,11,75,Gabriela
1502,Mouse,14,20,Ana
1503,Auriculares,5,80,Hugo
1504,Monitor,11,200,Beatriz
1505,Teclado,8,45,Elena
1506,USB Hub,2,30,Ana
1507,Webcam,18,60,Elena
1508,SSD,3,120,Hugo
1509,Router,9,75,Gabriela
1510,Impresora,10,250,Jose
1511,Tablet,4,350,Beatriz
1512,Auriculares,8,80,Fernando
1513,Mouse,14,20,Jose
1514,Webcam,15,60,Elena
1515,Microfono,12,70,Elena
1516,Tablet,12,350,Carlos
1517,Tablet,1,350,Elena
1518,Monitor,19,200,Ana
1519,USB Hub,9,30,Ana
1520,Switch,16,95,Fernando
1521,Auriculares,1,80,Elena
1522,Parlantes,17,110,Carlos
1523,Auriculares,9,80,Carlos
1524,Tablet,4,350,Ana
1525,Router,16,75,Hugo
1526,Switch,12,95,Ana
1527,Impresora,19,250,Hugo
1528,Impresora,20,250,Beatriz
1529,Switch,10,95,Isabel
1530,Microfono,12,70,Gabriela
1531,Mouse,15,20,Fernando
1532,Switch,5,95,Isabel
1533,Auriculares,1,80,Fernando
1534,RAM,10,90,Gabriela
1535,Microfono,2,70,Ana
1536,Router,10,75,Jose
1537,Impresora,20,250,Jose
1538,Laptop,3,1500,Diego
1539,Microfono,18,70,Hugo
1540,RAM,3,90,Gabriela
1541,Impresora,5,250,Gabriela
1542,SSD,7,120,Elena
1543,Parlantes,11,110,Jose
1544,Impresora,9,250,Isabel
1545,Switch,5,95,Fernando
1546,Parlantes,4,110,Beatriz
1547,Webcam,8,60,Fernando
1548,Teclado,19,45,Carlos
1549,Monitor,20,200,Elena
1550,RAM,13,90,Fernando
1551,SSD,17,120,Diego
1552,RAM,6,90,Gabriela
1553,Webcam,6,60,Fernando
1554,Monitor,9,200,Gabriela
1555,Laptop,15,1500,Elena
1556,Microfono,4,70,Diego
1557,Tablet,16,350,Gabriela
1558,SSD,19,120,Gabriela
1559,Switch,14,95,Jose
1560,Webcam,18,60,Fernando
1561,Mouse,16,20,Isabel
1562,Switch,20,95,Ana
1563,Auriculares,8,80,Hugo
1564,Impresora,7,250,Jose
1565,Monitor,18,200,Hugo
1566,Webcam,16,60,Fernando
1567,RAM,11,90,Elena
1568,Parlantes,13,110,Ana
1569,Switch,6,95,Diego
1570,Microfono,1,70,Isabel
1571,Microfono,4,70,Beatriz
1572,RAM,10,90,Ana
1573,Switch,20,95,Hugo
1574,Switch,7,95,Diego
1575,Switch,11,95,Ana
1576,Laptop,20,1500,Ana
1577,Laptop,14,1500,Gabriela
1578,Mouse,5,20,Isabel
1579,USB Hub,7,30,Isabel
1580,Webcam,9,60,Fernando
1581,Auriculares,12,80,Diego
1582,USB Hub,7,30,Gabriela
1583,Mouse,7,20,Ana
1584,RAM,11,90,Carlos
1585,SSD,11,120,Carlos
1586,Tablet,11,350,Ana
1587,Impresora,11,250,Elena
1588,Tablet,10,350,Jose
1589,Switch,7,95,Jose
1590,RAM,19,90,Jose
1591,SSD,6,120,Gabriela
1592,Teclado,20,45,Jose
1593,Mouse,14,20,Ana
1594,Impresora,13,250,Fernando
1595,Router,7,75,Elena
1596,Laptop,13,1500,Hugo
1597,Webcam,16,60,Carlos
1598,USB Hub,20,30,Beatriz
1599,Auriculares,1,80,Diego
1600,Parlantes,18,110,Ana
1601,Switch,19,95,Isabel
1602,USB Hub,1,30,Jose
1603,Tablet,14,350,Hugo
1604,Impresora,14,250,Beatriz
1605,Auriculares,19,80,Beatriz
1606,Mouse,6,20,Beatriz
1607,Switch,8,95,Diego
1608,Parlantes,16,110,Jose
1609,Router,6,75,Beatriz
1610,Microfono,12,70,Elena
1611,Monitor,13,200,Gabriela
1612,Monitor,6,200,Gabriela
1613,Laptop,11,1500,Jose
1614,USB Hub,9,30,Jose
1615,Mouse,8,20,Jose
1616,Switch,14,95,Elena
1617,Impresora,16,250,Gabriela
1618,Teclado,4,45,Carlos
1619,Mouse,3,20,Diego
1620,RAM,16,90,Fernando
1621,USB Hub,8,30,Hugo
1622,Microfono,13,70,Isabel
1623,Router,16,75,Isabel
1624,Microfono,15,70,Hugo
1625,Impresora,1,250,Elena
1626,Parlantes,14,110,Elena
1627,RAM,9,90,Elena
1628,Mouse,7,20,Ana
1629,Router,19,75,Carlos
1630,Impresora,7,250,Hugo
1631,Teclado,3,45,Gabriela
1632,Switch,11,95,Hugo
1633,SSD,14,120,Fernando
1634,Parlantes,2,110,Elena
1635,RAM,6,90,Diego
1636,Tablet,14,350,Fernando
1637,SSD,12,120,Gabriela
1638,Webcam,10,60,Jose
1639,Microfono,5,70,Isabel
1640,Router,11,75,Fernando
1641,RAM,1,90,Fernando
1642,Monitor,14,200,Beatriz
1643,Webcam,3,60,Isabel
1644,Impresora,4,250,Diego
1645,Router,13,75,Beatriz
1646,Parlantes,12,110,Ana
1647,Mouse,9,20,Beatriz
1648,Impresora,20,250,Jose
1649,SSD,18,120,Isabel
1650,Teclado,16,45,Hugo
1651,SSD,10,120,Elena
1652,Microfono,9,70,Fernando
1653,USB Hub,12,30,Fernando
1654,SSD,13,120,Hugo
1655,RAM,20,90,Jose
1656,Microfono,14,70,Gabriela
1657,Microfono,1,70,Carlos
1658,Mouse,2,20,Ana
1659,Switch,15,95,Carlos
1660,Impresora,13,250,Ana
1661,USB Hub,8,30,Carlos
1662,Auriculares,1,80,Gabriela
1663,Tablet,17,350,Jose
1664,Switch,20,95,Isabel
1665,USB Hub,11,30,Isabel
1666,Microfono,4,70,Isabel
1667,Auriculares,12,80,Gabriela
1668,Teclado,5,45,Diego
1669,Laptop,17,1500,Carlos
1670,Laptop,17,1500,Hugo
1671,Tablet,15,350,Ana
1672,Tablet,7,350,Carlos
1673,Auriculares,3,80,Beatriz
1674,Auriculares,10,80,Elena
1675,Parlantes,18,110,Beatriz
1676,Webcam,17,60,Jose
1677,Monitor,7,200,Hugo
1678,Switch,14,95,Elena
1679,Mouse,4,20,Carlos
1680,Laptop,13,1500,Diego
1681,RAM,11,90,Ana
1682,Monitor,10,200,Isabel
1683,SSD,7,120,Elena
1684,Mouse,15,20,Fernando
1685,Impresora,11,250,Ana
1686,Router,15,75,Jose
1687,Impresora,2,250,Gabriela
1688,Teclado,17,45,Fernando
1689,Microfono,3,70,Carlos
1690,Mouse,11,20,Gabriela
1691,Auriculares,19,80,Jose
1692,Auriculares,12,80,Jose
1693,Parlantes,9,110,Diego
1694,Switch,19,95,Jose
1695,Parlantes,15,110,Elena
1696,SSD,4,120,Gabriela
1697,Parlantes,15,110,Elena
1698,Mouse,10,20,Elena
1699,Webcam,6,60,Gabriela
1700,Laptop,18,1500,Fernando
1701,Microfono,11,70,Jose
1702,Laptop,16,1500,Ana
1703,RAM,3,90,Beatriz
1704,USB Hub,16,30,Hugo
1705,Router,18,75,Diego
1706,Switch,6,95,Hugo
1707,Webcam,6,60,Gabriela
1708,Router,8,75,Diego
1709,Mouse,14,20,Ana
1710,USB Hub,16,30,Beatriz
1711,SSD,8,120,Gabriela
1712,Switch,16,95,Carlos
1713,Parlantes,15,110,Gabriela
1714,Laptop,9,1500,Jose
1715,Router,10,75,Diego
1716,SSD,10,120,Elena
1717,Mouse,15,20,Fernando
1718,Tablet,14,350,Elena
1719,USB Hub,6,30,Beatriz
1720,SSD,13,120,Gabriela
1721,Impresora,8,250,Gabriela
1722,Parlantes,1,110,Carlos
1723,Webcam,9,60,Jose
1724,Impresora,13,250,Elena
1725,RAM,6,90,Jose
1726,RAM,11,90,Fernando
1727,Tablet,9,350,Isabel
1728,RAM,10,90,Ana
1729,Parlantes,15,110,Diego
1730,Microfono,1,70,Hugo
1731,Microfono,6,70,Beatriz
1732,Tablet,8,350,Gabriela
1733,Mouse,11,20,Ana
1734,Router,17,75,Carlos
1735,Monitor,11,200,Gabriela
1736,Switch,11,95,Hugo
1737,Impresora,7,250,Gabriela
1738,Auriculares,19,80,Isabel
1739,USB Hub,6,30,Beatriz
1740,Laptop,16,1500,Hugo
1741,Teclado,12,45,Carlos
1742,Webcam,4,60,Beatriz
1743,Mouse,10,20,Ana
1744,SSD,15,120,Elena
1745,RAM,8,90,Jose
1746,RAM,2,90,Carlos
1747,RAM,10,90,Diego
1748,Switch,13,95,Isabel
1749,RAM,14,90,Ana
1750,Router,13,75,Diego
1751,Microfono,19,70,Beatriz
1752,USB Hub,20,30,Diego
1753,Monitor,15,200,Hugo
1754,Parlantes,4,110,Beatriz
1755,Laptop,2,1500,Ana
1756,RAM,9,90,Gabriela
1757,Impresora,10,250,Diego
1758,Router,15,75,Elena
1759,RAM,11,90,Gabriela
1760,Router,16,75,Carlos
1761,SSD,12,120,Fernando
1762,Tablet,15,350,Diego
1763,Impresora,11,250,Diego
1764,Microfono,3,70,Ana
1765,Parlantes,2,110,Elena
1766,Laptop,9,1500,Diego
1767,Tablet,20,350,Hugo
1768,Laptop,8,1500,Carlos
1769,RAM,7,90,Gabriela
1770,Auriculares,15,80,Fernando
1771,RAM,6,90,Beatriz
1772,USB Hub,2,30,Fernando
1773,Webcam,13,60,Elena
1774,Monitor,8,200,Fernando
1775,Teclado,15,45,Fernando
1776,SSD,17,120,Elena
1777,Teclado,1,45,Elena
1778,Mouse,20,20,Gabriela
1779,Tablet,20,350,Fernando
1780,Impresora,15,250,Elena
1781,Switch,9,95,Elena
1782,Monitor,11,200,Isabel
1783,USB Hub,5,30,Jose
1784,Webcam,12,60,Ana
1785,Impresora,19,250,Carlos
1786,Tablet,8,350,Diego
1787,Mouse,12,20,Isabel
1788,Microfono,5,70,Jose
1789,Monitor,5,200,Diego
1790,Monitor,1,200,Carlos
1791,Router,1,75,Ana
1792,Switch,15,95,Isabel
1793,Teclado,4,45,Diego
1794,Webcam,11,60,Jose
1795,Switch,14,95,Hugo
1796,Laptop,20,1500,Ana
1797,Switch,17,95,Diego
1798,Laptop,15,1500,Beatriz
1799,Router,17,75,Jose
1800,Switch,4,95,Hugo
1801,Router,20,75,Ana
1802,Auriculares,20,80,Hugo
1803,Auriculares,5,80,Beatriz
1804,Webcam,12,60,Diego
1805,RAM,20,90,Diego
1806,RAM,6,90,Isabel
1807,Auriculares,17,80,Isabel
1808,Tablet,18,350,Ana
1809,Webcam,11,60,Fernando
1810,Parlantes,9,110,Jose
1811,Laptop,20,1500,Isabel
1812,Mouse,9,20,Elena
1813,Laptop,11,1500,Ana
1814,Microfono,14,70,Gabriela
1815,Microfono,19,70,Diego
1816,Switch,1,95,Carlos
1817,Switch,19,95,Carlos
1818,Teclado,7,45,Fernando
1819,Webcam,18,60,Jose
1820,Tablet,1,350,Elena
1821,SSD,5,120,Ana
1822,Auriculares,17,80,Carlos
1823,Router,1,75,Diego
1824,Monitor,13,200,Elena
1825,Laptop,5,1500,Carlos
1826,Microfono,8,70,Jose
1827,Mouse,11,20,Diego
1828,Tablet,17,350,Beatriz
1829,Tablet,2,350,Fernando
1830,Laptop,18,1500,Jose
1831,Mouse,20,20,Jose
1832,Router,9,75,Gabriela
1833,Webcam,9,60,Ana
1834,Microfono,19,70,Hugo
